Gloss,HamNoSys
a little,
abroad,
accept,
accident,
accommodate,
ache,
achieve,
action,
actor,
adapt,
address,
admire,
admit,
advertise,
advise,
after,
afternoon,
again,
against,
age,
agree,
air,
airport,
alcohol,
alive,
almost,
alone,
already,
also,
always,
anger,
animal,
annoy,
answer,
apartment,
appetite,
apple,
appreciate,
April,
area,
armchair,
army,
arrange,
arrival,
artist,
ash,
ask,
ask,
assiduous,
at last,
Athens,
August,
aunt,
authorisation,
automatic,
autumn,
avoid,
back,
bad,
bag,
bakery,
ball,
basement,
basin,
battle,
be afraid,
be cold,
be impressed,
be sleepy,
beautiful,
bed,
beer,
beg,
begin,
bell,
belong,
belt,
bend,
Berlin,
betray,
between,
beverage,
bicycle,
big,
bird,
birthday,
bitter,
black,
blood,
blouse,
blue,
boat,
body,
boil,
bomb,
book,
border,
bottle,
box,
boy,
branch,
bravo,
bread,
break,
bridge,
brief,
bring,
brother,
brush,
building,
bus,
but,
butter,
button,
buy,
on foot,
calculate,
call,
call,
calm,
camera,
cancel,
capable,
capital,
car,
caravan,
care,
carpet,
carry,
case,
cat,
celebrate,
century,
chain,
chair,
chairman,
change,
character,
cheap,
cheese,
cheque,
cherry,
chest,
chicken,
child,
chilly,
choose,
Christmas,
church,
cigarette,
cinema,
circle,
citizen,
clean,
clear,
close,
closed,
closet,
clothes,
coal,
coast,
coat,
coffee,
coin,
cold,
colour,
comb,
come,
comfortable,
common,
community,
company,
compare,
complain,
comunication,
confused,
consequently,
continue,
cook,
copy,
couch,
cough,
country,
couple,
course,
court,
courtyard,
cow,
coward,
craftsman,
cream,
create,
crooked,
crossroad,
cry,
cup,
customer,
cut,
cut,
daily,
damage,
dance,
danger,
dangerous,
dark,
daughter,
day,
day after tomorrow,
dead,
death,
debts,
December,
decide,
declare,
defend,
degree,
delay,
deliberately,
democracy,
dentist,
deny,
departure,
depth,
describe,
desk,
dictionary,
die,
different,
difficult,
dig,
direction,
directive,
director,
dirty,
disadvantage,
disagree,
disappointed,
discuss,
disorder,
distance,
distant,
distinguish,
do,
do not know,
doctor,
dog,
door,
double,
doubt,
drawing,
dream,
dress,
drink,
drive,
driver,
drop,
dry,
dust,
duty,
dwell,
ear,
earn,
earth,
east,
easy,
eat,
economy,
egg,
eight,
eighteen,
eighty,
election,
electrical,
elegant,
eleven,
employee,
empty,
empty,
end,
enemy,
engaged,
engineer,
England,
enjoy,
enough,
enterprise,
entrance,
environment,
error,
essential,
Europe,
evening,
every day,
everyone,
everything,
everywhere,
exaggerate,
examine,
exchange,
excuse,
exercise,
exit,
expenses,
expensive,
explain,
eye,
fabric,
face,
factory,
fair,
family,
famous,
far,
farmer,
fast,
fat,
father,
fear,
February,
feel,
few,
field,
fifteen,
fifty,
fill,
find,
finger,
first,
